cod_nat_pcs;lib_pcs;cod_commune;lib_commune;lib_bassin_risques;lib_commentaire;dat_etu_pcs_deb;dat_etu_pcs_fin;dat_notification_pcs_fin;dat_maj
55DDT20180008;Haironville;55224;Haironville;Saulx;"";;2018-06-29 00:00:00;2018-06-29 00:00:00;
55DDT20170006;Gussainville;55222;Gussainville;Orne;"";;2017-06-06 00:00:00;2017-06-06 00:00:00;2018-11-20 00:00:00
55DDT20110001;Guerpont;55221;Guerpont;Ornain;"";;2011-09-27 00:00:00;2011-09-27 00:00:00;2018-11-20 00:00:00
55DDT20150054;Euville;55184;Euville;Meuse;"";;2015-02-24 00:00:00;2015-02-24 00:00:00;
55DDT20170005;Dieue-Sur-Meuse;55154;Dieue-sur-Meuse;Meuse;"";;2017-07-26 00:00:00;2017-07-26 00:00:00;2018-11-20 00:00:00
55DDT20180007;Dammarie-sur-Saulx;55144;Dammarie-sur-Saulx;Saulx;"";;2018-06-29 00:00:00;2018-06-29 00:00:00;
55DDT20180006;Couvertpuis;55133;Couvertpuis;Orge;"";;2018-06-29 00:00:00;2018-06-29 00:00:00;
55DDT20140058;Consenvoye;55124;Consenvoye;Meuse;"";;2014-05-26 00:00:00;2014-05-26 00:00:00;2018-11-19 00:00:00
55DDT20140057;Chattancourt;55106;Chattancourt;Meuse;"";;2014-01-28 00:00:00;2014-01-28 00:00:00;
55DDT20160004;Champougny;55100;Champougny;Meuse;"";;2016-12-20 00:00:00;2016-12-20 00:00:00;
55DDT20120003;Burey-en-Vaux;55088;Burey-en-Vaux;Meuse;"";;2012-06-25 00:00:00;2012-06-25 00:00:00;
55DDT20180005;Burey-la-Côte;55089;Burey-la-Côte;Meuse;"";;2018-07-31 00:00:00;2018-07-31 00:00:00;
55DDT20170004;Bouligny;55063;Bouligny;Minier;"";;2017-06-01 00:00:00;2017-06-01 00:00:00;2018-11-20 00:00:00
55DDT20180004;Le-Bouchon-Sur-Saulx;55061;Le Bouchon-sur-Saulx;Saulx;"";;2018-06-29 00:00:00;2018-06-29 00:00:00;
55DDT20160003;Boncourt-sur-Meuse;55058;Boncourt-sur-Meuse;Meuse;"";;2016-12-30 00:00:00;2016-12-30 00:00:00;2018-11-20 00:00:00
55DDT20170003;Boinville en Woëvre;55057;Boinville-en-Woëvre;Orne;"";;2017-11-25 00:00:00;2017-11-25 00:00:00;2018-11-20 00:00:00
55DDT20120002;Bislée;55054;Bislée;Meuse;"";;2012-09-06 00:00:00;2012-09-06 00:00:00;2018-11-15 00:00:00
55DDT20180003;Biencourt-sur-Orge;55051;Biencourt-sur-Orge;Orge;"";;2018-06-29 00:00:00;2018-06-29 00:00:00;
55DDT20180002;Beurey-sur-Saulx;55049;Beurey-sur-Saulx;Saulx;"";;2018-06-29 00:00:00;2018-06-29 00:00:00;2018-11-20 00:00:00
2ADREAL20180014;Bastelicaccia;2A032;Bastelicaccia;"";"";;;2015-01-01 00:00:00;
2ADREAL20180004;Arbellara;2A018;Arbellara;"";"";;;2015-08-24 00:00:00;2018-11-15 00:00:00
2ADREAL20180003;Appietto;2A017;Appietto;"";"";;;2015-11-12 00:00:00;
55DDT20160002;Belrupt-en-Verdunois;55045;Belrupt-en-Verdunois;Meuse;"";;2016-01-29 00:00:00;2016-01-29 00:00:00;2018-11-15 00:00:00
55DDT20170002;Belleville-sur-Meuse;55043;Belleville-sur-Meuse;Meuse;"";;2017-11-14 00:00:00;2017-11-14 00:00:00;
