cod_nat_dicrim;lib_dicrim;lib_bassin_risques;cod_commune;lib_commune;lib_commentaire;dat_program_dicrim_deb;dat_program_dicrim_fin;dat_etu_dicrim_deb;dat_etu_dicrim_fin;dat_publi_dicrim;dat_reception_min;dat_maj
50DDTM20150242;La Mancellière-sur-Vire;"";50287;La Mancellière-sur-Vire;"";;;;;2007-05-21 00:00:00;;2015-11-18 00:00:00
86PREF20150226;Saint-Macoux;"";86231;Saint-Macoux;"";;;;;2013-11-17 00:00:00;;
50DDTM20150241;La Gohannière;"";50206;La Gohannière;"";;;;;2009-10-13 00:00:00;;2015-11-18 00:00:00
50DDTM20150240;La Glacerie;"";50203;La Glacerie;"";;;;;2007-07-06 00:00:00;;2015-11-18 00:00:00
86PREF20150223;Saint-Laurent-de-Jourdes;"";86228;Saint-Laurent-de-Jourdes;"";;;;;2013-07-19 00:00:00;;
50DDTM20150239;Jullouville;"";50066;Jullouville;"";;;;;2010-07-01 00:00:00;;2015-11-18 00:00:00
86PREF20150220;Saint-Jean-de-Sauves;"";86225;Saint-Jean-de-Sauves;"";;;;;2015-01-01 00:00:00;;
50DDTM20150238;Jobourg;"";50257;Jobourg;"";;;;;2007-05-14 00:00:00;;2015-11-18 00:00:00
86PREF20150217;Saint-Georges-lès-Baillargeaux;"";86222;Saint-Georges-lès-Baillargeaux;"";;;;;2011-05-26 00:00:00;;
50DDTM20150237;Isigny-le-Buat;"";50256;Isigny-le-Buat;"";;;;;2009-09-30 00:00:00;;2015-11-18 00:00:00
50DDTM20150236;Hyenville;"";50255;Hyenville;"";;;;;2015-07-06 00:00:00;;2016-06-15 00:00:00
86PREF20150215;Saint-Gaudent;"";86220;Saint-Gaudent;"";;;;;2014-01-15 00:00:00;;
86PREF20150214;Saint-Cyr;"";86219;Saint-Cyr;"";;;;;2013-06-06 00:00:00;;
50DDTM20150235;Heugueville-sur-Sienne;"";50243;Heugueville-sur-Sienne;"";;;;;2008-03-03 00:00:00;;2015-11-18 00:00:00
50DDTM20150234;Herqueville;"";50242;Herqueville;"";;;;;2007-04-10 00:00:00;;2015-11-18 00:00:00
86PREF20150211;Saint-Benoit;"";86214;Saint-Benoît;"";;;;;2007-01-01 00:00:00;;
50DDTM20150233;Helleville;"";50240;Helleville;"";;;;;2008-06-20 00:00:00;;2015-11-18 00:00:00
50DDTM20150232;Hébécrevon;"";50239;Hébécrevon;"";;;;;2007-07-20 00:00:00;;2015-11-18 00:00:00
50DDTM20150231;Héauville;"";50238;Héauville;"";;;;;2008-06-21 00:00:00;;2015-11-18 00:00:00
50DDTM20150230;Hardinvast;"";50230;Hardinvast;"";;;;;2006-12-05 00:00:00;;2015-11-18 00:00:00
50DDTM20150229;Grosville;"";50222;Grosville;"";;;;;2007-04-13 00:00:00;;2015-11-18 00:00:00
86PREF20150208;Roiffé;"";86210;Roiffé;"";;;;;2014-01-01 00:00:00;;
50DDTM20150228;Gréville-Hague;"";50220;Gréville-Hague;"";;;;;2007-07-06 00:00:00;;2015-11-18 00:00:00
86PREF20150206;Rochereau (Le);"";86208;Le Rochereau;"";;;;;2015-01-01 00:00:00;;
86PREF20150205;Roche-Posay (La);"";86207;La Roche-Posay;"";;;;;2008-01-01 00:00:00;;
50DDTM20150227;Gouville-sur-Mer;"";50215;Gouville-sur-Mer;"";;;;;2008-02-29 00:00:00;;2015-11-18 00:00:00
50DDTM20150226;Gourfaleur;"";50213;Gourfaleur;"";;;;;2007-02-27 00:00:00;;2015-11-18 00:00:00
86PREF20150200;Queaux;"";86203;Queaux;"";;;;;2013-07-25 00:00:00;;
50DDTM20150225;Genêts;"";50199;Genêts;"";;;;;2008-10-02 00:00:00;;2015-11-18 00:00:00
86PREF20150199;Puye (La);"";86202;La Puye;"";;;;;2015-01-01 00:00:00;;
50DDTM20150224;Gavray;"";50197;Gavray;"";;;;;2006-12-20 00:00:00;;2015-11-18 00:00:00
86PREF20150198;Prinçay;"";86201;Prinçay;"";;;;;2014-01-01 00:00:00;;
50DDTM20150223;Fourneaux;"";50192;Fourneaux;"";;;;;2008-02-06 00:00:00;;2015-11-18 00:00:00
86PREF20150196;Pouillé;"";86198;Pouillé;"";;;;;2015-01-01 00:00:00;;
86PREF20150195;Pouant;"";86197;Pouant;"";;;;;2013-03-06 00:00:00;;
86PREF20150194;Pouançay;"";86196;Pouançay;"";;;;;2015-01-01 00:00:00;;
86PREF20150192;Poitiers;"";86194;Poitiers;"";;;;;2007-01-01 00:00:00;;
86PREF20150190;Plaisance;"";86192;Plaisance;"";;;;;2013-04-03 00:00:00;;
86PREF20150189;Pindray;"";86191;Pindray;"";;;;;2012-01-01 00:00:00;;
86PREF20150188;Persac;"";86190;Persac;"";;;;;2013-07-04 00:00:00;;
86PREF20150187;Payroux;"";86189;Payroux;"";;;;;2015-04-22 00:00:00;;
86PREF20150185;Paizay-le-Sec;"";86187;Paizay-le-Sec;"";;;2015-11-01 00:00:00;;2015-12-07 00:00:00;;2016-03-11 00:00:00
86PREF20150184;Oyré;"";86186;Oyré;"";;;;;2015-01-01 00:00:00;;
86PREF20150183;Ouzilly;"";86184;Ouzilly;"";;;;;2015-01-01 00:00:00;;
86PREF20150182;Ormes (Les);"";86183;Les Ormes;"";;;;;2011-01-01 00:00:00;;
86PREF20150179;Nouaillé-Maupertuis;"";86180;Nouaillé-Maupertuis;"";;;;;2014-01-20 00:00:00;;
86PREF20150177;Neuville-de-Poitou;"";86177;Neuville-de-Poitou;"";;;;;2010-01-01 00:00:00;;
86PREF20150175;Nalliers;"";86175;Nalliers;"";;;;;2013-06-21 00:00:00;;
86PREF20150174;Naintré;"";86174;Naintré;"";;;;;2013-07-02 00:00:00;;
86PREF20150172;Mouterre-sur-Blourde;"";86172;Mouterre-sur-Blourde;"";;;;;2013-04-02 00:00:00;;
86PREF20150171;Moussac;"";86171;Moussac;"";;;;;2012-01-01 00:00:00;;
86PREF20150167;Montreuil-Bonnin;"";86166;Montreuil-Bonnin;"";;;;;2011-09-01 00:00:00;;
86PREF20150166;Montmorillon;"";86165;Montmorillon;"";;;;;2013-11-07 00:00:00;;
86PREF20150164;Montamisé;"";86163;Montamisé;"";;;;;2007-01-01 00:00:00;;
86PREF20150162;Moncontour;"";86161;Moncontour;"";;;;;2013-01-01 00:00:00;;
86PREF20150160;Millac;"";86159;Millac;"";;;;;2013-06-04 00:00:00;;
86PREF20150159;Migné-Auxances;"";86158;Migné-Auxances;"";;;;;2007-01-01 00:00:00;;
86PREF20150158;Mignaloux-Beauvoir;"";86157;Mignaloux-Beauvoir;"";;;;;2007-01-01 00:00:00;;
86PREF20150155;Mazerolles;"";86153;Mazerolles;"";;;;;2012-12-11 00:00:00;;
86PREF20150149;Marigny-Chemereau;"";86147;Marigny-Chemereau;"";;;;;2015-01-01 00:00:00;;
86PREF20150148;Marigny-Brizay;"";86146;Marigny-Brizay;"";;;;;2015-01-01 00:00:00;;
50DDTM20150212;Flottemanville-Hague;"";50187;Flottemanville-Hague;"";;;;;2007-02-22 00:00:00;;2015-11-18 00:00:00
86PREF20150144;Magné;"";86141;Magné;"";;;;;2015-09-14 00:00:00;;
50DDTM20150211;Flamanville;"";50184;Flamanville;"";;;;;2007-10-30 00:00:00;;2015-11-18 00:00:00
50DDTM20150210;Fervaches;"";50180;Fervaches;"";;;;;2007-06-12 00:00:00;;2015-11-18 00:00:00
50DDTM20150209;Eculleville;"";50171;Éculleville;"";;;;;2007-07-06 00:00:00;;2015-11-18 00:00:00
86PREF20150142;Lussac-les-Châteaux;"";86140;Lussac-les-Châteaux;"";;;;;2013-01-01 00:00:00;;
86PREF20150139;Loudun;"";86137;Loudun;"";;;;;2015-01-01 00:00:00;;
86PREF20150138;Lizant;"";86136;Lizant;"";;;;;2015-01-01 00:00:00;;
86PREF20150137;Liniers;"";86135;Liniers;"";;;;;2015-12-16 00:00:00;;2016-01-04 00:00:00
86PREF20150135;Ligugé;"";86133;Ligugé;"";;;;;2011-03-31 00:00:00;;
86PREF20150133;Lhommaizé;"";86131;Lhommaizé;"";;;;;2011-01-01 00:00:00;;
86PREF20150131;Lésigny;"";86129;Lésigny;"";;;;;2016-06-01 00:00:00;;2016-07-28 00:00:00
86PREF20150130;Lencloître;"";86128;Lencloître;"";;;;;2015-01-01 00:00:00;;
86PREF20150128;Leignes-sur-Fontaine;"";86126;Leignes-sur-Fontaine;"";;;;;2015-01-01 00:00:00;;
50DDTM20150208;Ducey;"";50168;Ducey;"";;;;;2015-04-15 00:00:00;;2016-06-15 00:00:00
86PREF20150125;Lavausseau;"";86123;Lavausseau;"";;;;;2015-01-01 00:00:00;;
50DDTM20150207;Donville-les-Bains;"";50165;Donville-les-Bains;"";;;;;2009-09-22 00:00:00;;2015-11-18 00:00:00
50DDTM20150206;Domjean;"";50164;Domjean;"";;;;;2007-12-14 00:00:00;;2015-11-18 00:00:00
