Insee;num_risque_jo;annee
6155;16.0;2015
6155;16.0;2016
6157;16.0;2012
6157;1.0;2014
6157;16.0;2015
6157;16.0;2015
6157;1.0;2015
6157;1.0;2015
6157;16.0;2015
6159;16.0;2014
6159;1.0;2015
6161;16.0;2012
6161;16.0;2014
6161;1.0;2015
6161;1.0;2015
6161;16.0;2016
6163;1.0;2015
7001;1.0;2014
7001;1.0;2016
7003;1.0;2013
7003;1.0;2014
7003;1.0;2014
7004;1.0;2014
7005;1.0;2014
7005;1.0;2015
7005;1.0;2015
7006;1.0;2013
7006;1.0;2014
7007;1.0;2013
7008;1.0;2014
7009;1.0;2014
7010;1.0;2014
7010;1.0;2015
7011;1.0;2013
7011;1.0;2014
7011;1.0;2014
7012;1.0;2014
7013;1.0;2014
7014;1.0;2013
7014;1.0;2014
7015;1.0;2014
7015;1.0;2015
7015;1.0;2016
7016;1.0;2013
7016;1.0;2014
7016;1.0;2014
7018;1.0;2014
7019;39.0;2012
7019;39.0;2013
7019;1.0;2014
7020;1.0;2015
7020;1.0;2015
7022;1.0;2014
7022;1.0;2015
7022;1.0;2015
7022;1.0;2015
7023;1.0;2014
7024;1.0;2015
7025;1.0;2014
7028;1.0;2015
7029;1.0;2014
7030;1.0;2014
7030;1.0;2014
7031;39.0;2013
7031;1.0;2015
7033;1.0;2015
7035;1.0;2013
7037;1.0;2014
7039;1.0;2013
7041;1.0;2014
7042;1.0;2012
7042;39.0;2012
7042;39.0;2012
7042;1.0;2013
7042;1.0;2014
7045;1.0;2014
7048;1.0;2014
7049;1.0;2014
7050;1.0;2012
7050;1.0;2014
7052;1.0;2013
7053;1.0;2014
7053;1.0;2015
7054;1.0;2014
7058;1.0;2014
7058;1.0;2014
7059;1.0;2013
7060;1.0;2014
7061;1.0;2014
7061;1.0;2015
7062;1.0;2014
7064;1.0;2013
7064;1.0;2014
7064;1.0;2014
7065;1.0;2014
7065;1.0;2014
7065;1.0;2014
7066;39.0;2012
7066;39.0;2012
7066;1.0;2014
7069;1.0;2014
7072;39.0;2012
7072;39.0;2012
7073;1.0;2014
7074;1.0;2013
7074;1.0;2014
7074;1.0;2014
7074;1.0;2015
7075;1.0;2014
7079;1.0;2014
7079;1.0;2014
7080;1.0;2014
7081;1.0;2014
7081;1.0;2014
7082;1.0;2014
7083;1.0;2013
7083;1.0;2014
7085;1.0;2014
7086;1.0;2015
7087;1.0;2013
7087;1.0;2015
7087;1.0;2015
7087;1.0;2015
7093;1.0;2013
7093;1.0;2014
7093;1.0;2014
7096;1.0;2013
7096;1.0;2014
7097;1.0;2013
7098;1.0;2014
7098;1.0;2014
7099;1.0;2015
7099;1.0;2015
7100;1.0;2014
7100;1.0;2014
7100;1.0;2015
7101;1.0;2014
7101;1.0;2015
7102;1.0;2015
7103;1.0;2014
7104;1.0;2014
7107;1.0;2013
7107;1.0;2014
7107;1.0;2014
7108;1.0;2014
7109;1.0;2014
7110;1.0;2014
7110;1.0;2015
7111;1.0;2014
7111;1.0;2014
7112;1.0;2013
7112;1.0;2014
7112;1.0;2014
7112;1.0;2014
7113;1.0;2014
7113;1.0;2015
7114;1.0;2014
7115;1.0;2014
7115;1.0;2014
7115;1.0;2015
7116;1.0;2014
7118;1.0;2014
7118;1.0;2014
7123;1.0;2014
7124;1.0;2014
7126;1.0;2014
7126;1.0;2015
7127;1.0;2014
7129;1.0;2013
7129;1.0;2014
7129;1.0;2014
7131;1.0;2014
7132;1.0;2014
7133;1.0;2015
7138;1.0;2014
7139;1.0;2013
7139;1.0;2014
7139;1.0;2014
7141;1.0;2015
7142;1.0;2013
7143;1.0;2014
7146;1.0;2014
7147;1.0;2014
7148;1.0;2014
7149;1.0;2013
7149;1.0;2014
7149;1.0;2014
7149;1.0;2014
7150;1.0;2014
7152;1.0;2013
7153;1.0;2014
7153;1.0;2014
7155;1.0;2013
7156;1.0;2014
7156;1.0;2014
7158;1.0;2014
7158;1.0;2014
7160;1.0;2014
7161;1.0;2014
7162;1.0;2014
7162;1.0;2014
7165;1.0;2014
7166;1.0;2014
7166;1.0;2014
7171;1.0;2014
7173;1.0;2014
7177;1.0;2013
7179;1.0;2013
7182;1.0;2014
7183;1.0;2015
7184;1.0;2013
7184;1.0;2014
7185;1.0;2014
7185;1.0;2014
7186;1.0;2014
7187;1.0;2014
7187;1.0;2014
7189;1.0;2014
7190;1.0;2014
7191;39.0;2012
7191;39.0;2012
7191;1.0;2015
7191;1.0;2015
7192;1.0;2014
7193;1.0;2014
7195;1.0;2014
7196;1.0;2014
7196;1.0;2014
7197;1.0;2014
7198;39.0;2013
7198;39.0;2013
7199;1.0;2014
7199;1.0;2014
7200;1.0;2014
7201;39.0;2012
7201;39.0;2012
7201;1.0;2015
7202;1.0;2014
7203;1.0;2014
7203;1.0;2014
7204;1.0;2014
7204;1.0;2014
7205;1.0;2014
7207;1.0;2014
7207;1.0;2015
7208;1.0;2015
7209;1.0;2014
7210;1.0;2013
7210;1.0;2014
7210;1.0;2014
7211;1.0;2015
7213;1.0;2014
7214;1.0;2015
7215;1.0;2013
7215;1.0;2014
7215;1.0;2014
7216;1.0;2013
7218;1.0;2014
7219;1.0;2014
7220;1.0;2013
7220;1.0;2014
7226;1.0;2014
7226;1.0;2014
7229;1.0;2014
7233;1.0;2013
7233;1.0;2014
7233;1.0;2014
7236;1.0;2014
7244;1.0;2015
7244;1.0;2015
7245;1.0;2013
7245;1.0;2015
7247;1.0;2014
7248;1.0;2014
7249;1.0;2014
7251;1.0;2013
7252;1.0;2014
7253;1.0;2013
7253;1.0;2014
7254;39.0;2012
7254;39.0;2012
7254;1.0;2015
7256;1.0;2014
7256;1.0;2014
7257;1.0;2013
7257;1.0;2014
7258;1.0;2014
7258;1.0;2015
7260;1.0;2015
7261;1.0;2014
7264;39.0;2012
7264;39.0;2012
7266;1.0;2014
7267;1.0;2014
7269;1.0;2014
7270;39.0;2012
7270;39.0;2013
7270;1.0;2015
7272;1.0;2014
7273;1.0;2014
7273;1.0;2015
7274;1.0;2013
7274;1.0;2014
7274;1.0;2014
7274;1.0;2014
7275;1.0;2014
7276;1.0;2014
7277;1.0;2014
7278;1.0;2013
7278;1.0;2014
7278;1.0;2014
7278;1.0;2014
7279;1.0;2015
7279;1.0;2015
7280;1.0;2015
7281;39.0;2012
7281;39.0;2013
7281;1.0;2013
7281;1.0;2014
7282;1.0;2014
7282;1.0;2014
7282;1.0;2015
7284;1.0;2014
7286;1.0;2013
7286;1.0;2014
7286;1.0;2014
7288;39.0;2012
7288;39.0;2012
7289;1.0;2014
7290;1.0;2014
7291;1.0;2015
7291;1.0;2015
7293;1.0;2013
7294;1.0;2013
7294;1.0;2015
7295;1.0;2013
7295;1.0;2014
7295;1.0;2014
7295;1.0;2014
7296;39.0;2012
7296;39.0;2013
7297;1.0;2013
7300;1.0;2014
7300;1.0;2015
7300;1.0;2015
7301;1.0;2013
7301;1.0;2014
7302;1.0;2015
7303;1.0;2014
7304;1.0;2015
7305;1.0;2014
7306;1.0;2015
7307;1.0;2014
7308;1.0;2014
7309;1.0;2014
7309;1.0;2014
7311;1.0;2015
7311;1.0;2015
7314;1.0;2013
7314;1.0;2014
7314;1.0;2014
7314;1.0;2015
7315;1.0;2014
7318;1.0;2013
7318;1.0;2014
7319;1.0;2014
7319;1.0;2015
7319;1.0;2015
7322;1.0;2014
7322;1.0;2014
7322;1.0;2014
7323;39.0;2012
7323;39.0;2012
7324;1.0;2013
7324;1.0;2014
7325;1.0;2014
7325;1.0;2014
7326;1.0;2014
7326;1.0;2014
7327;1.0;2014
7327;1.0;2014
7327;1.0;2014
7328;1.0;2014
7328;1.0;2015
7329;1.0;2014
7330;39.0;2013
7330;1.0;2015
7331;1.0;2013
7331;1.0;2014
7331;1.0;2014
7332;1.0;2015
7332;1.0;2015
7333;1.0;2014
7333;1.0;2014
7334;39.0;2013
7334;1.0;2014
7334;1.0;2015
7336;1.0;2014
7336;1.0;2014
7337;1.0;2014
7338;1.0;2013
7338;1.0;2014
7338;1.0;2014
7339;1.0;2014
7340;1.0;2014
7343;1.0;2014
7346;1.0;2015
7346;1.0;2015
7347;1.0;2014
7347;1.0;2014
7348;1.0;2014
8003;1.0;2012
8003;1.0;2016
8004;1.0;2016
8009;1.0;2016
8028;1.0;2015
8035;1.0;2013
8040;1.0;2012
8043;1.0;2013
8065;1.0;2016
8070;1.0;2016
8075;1.0;2016
8083;1.0;2016
8086;1.0;2016
8088;1.0;2013
8096;1.0;2012
8105;1.0;2012
8107;1.0;2016
8126;1.0;2016
8137;1.0;2012
8140;1.0;2012
8142;1.0;2012
8161;1.0;2013
8163;1.0;2016
8168;1.0;2016
8171;39.0;2012
8171;39.0;2012
8172;1.0;2016
8174;1.0;2013
8174;1.0;2016
8179;1.0;2013
8180;1.0;2012
8184;1.0;2016
8187;1.0;2012
8197;1.0;2016
8223;1.0;2016
8226;1.0;2015
8254;1.0;2012
8255;39.0;2012
8255;39.0;2012
8269;1.0;2016
8276;1.0;2016
8281;1.0;2013
8281;1.0;2013
8289;1.0;2013
8293;1.0;2016
8298;1.0;2012
8311;1.0;2016
8317;1.0;2013
8317;1.0;2016
8331;1.0;2013
8342;1.0;2013
8346;1.0;2012
8346;1.0;2012
8346;1.0;2012
8354;1.0;2016
8360;1.0;2016
8370;1.0;2012
8373;1.0;2016
8376;1.0;2016
8385;1.0;2012
8399;1.0;2016
8406;1.0;2016
8409;1.0;2013
8419;1.0;2012
8419;1.0;2016
8420;1.0;2016
8421;1.0;2016
8428;39.0;2012
8428;39.0;2012
8446;1.0;2013
8446;1.0;2016
8450;1.0;2012
8480;1.0;2012
8480;1.0;2012
8485;1.0;2016
8487;1.0;2016
8494;1.0;2013
8497;1.0;2012
8497;1.0;2012
8501;1.0;2013
9003;1.0;2014
9005;1.0;2014
9014;1.0;2015
9019;39.0;2013
9025;1.0;2013
9029;1.0;2014
9030;1.0;2012
9031;3.0;2014
9032;1.0;2014
9043;1.0;2014
9045;1.0;2014
9047;1.0;2014
9047;39.0;2016
9051;16.0;2014
9076;1.0;2016
9079;39.0;2013
9083;39.0;2013
9084;1.0;2016
9109;1.0;2016
9111;1.0;2013
9111;1.0;2014
9116;39.0;2016
9125;1.0;2014
9127;39.0;2012
9127;39.0;2012
9135;1.0;2014
9136;1.0;2014
9159;1.0;2014
9165;1.0;2014
9170;39.0;2013
9182;1.0;2014
9206;3.0;2014
9206;1.0;2014
9218;3.0;2013
9220;1.0;2014
9221;16.0;2012
9227;1.0;2014
9228;1.0;2014
9229;1.0;2014
9231;1.0;2014
9245;39.0;2013
9253;39.0;2012
9257;16.0;2016
9257;16.0;2016
9276;39.0;2013
9279;16.0;2014
9280;1.0;2014
9298;1.0;2014
9322;1.0;2015
9322;1.0;2016
9329;39.0;2012
9336;91.0;2016
9338;1.0;2016
9338;1.0;2016
10007;1.0;2012
10009;1.0;2013
10012;1.0;2013
10012;21.0;2014
10022;1.0;2013
10025;1.0;2013
10032;1.0;2012
10033;1.0;2012
10033;1.0;2013
10033;21.0;2014
10034;1.0;2013
10034;21.0;2014
10035;1.0;2013
10039;1.0;2012
10041;1.0;2012
10050;1.0;2013
10055;1.0;2013
10058;1.0;2013
10060;1.0;2013
10067;1.0;2013
10067;21.0;2014
10070;1.0;2013
10076;1.0;2014
10080;1.0;2012
10081;1.0;2013
10081;21.0;2014
10083;1.0;2013
10083;21.0;2014
10090;1.0;2013
10090;21.0;2014
10099;1.0;2016
10100;1.0;2013
10100;21.0;2014
10102;1.0;2012
10109;1.0;2013
10109;1.0;2013
10113;1.0;2012
10114;1.0;2013
10118;1.0;2013
10118;1.0;2016
10119;1.0;2013
10119;21.0;2014
10123;39.0;2013
10126;1.0;2013
10141;1.0;2012
10141;1.0;2013
10141;21.0;2014
10144;1.0;2013
10150;1.0;2012
10150;1.0;2013
10158;1.0;2013
10176;1.0;2013
10176;21.0;2014
10178;1.0;2013
10181;1.0;2013
10182;1.0;2013
10187;1.0;2013
10188;39.0;2012
10191;1.0;2013
10191;21.0;2013
10191;21.0;2014
10193;1.0;2013
10201;1.0;2012
10202;1.0;2012
10203;1.0;2012
10203;1.0;2013
10203;21.0;2014
10208;1.0;2013
10209;39.0;2012
10220;1.0;2013
10225;1.0;2013
10227;1.0;2013
10228;39.0;2012
10230;1.0;2013
10230;21.0;2014
10231;1.0;2013
10231;21.0;2013
10232;1.0;2013
10233;1.0;2013
10234;1.0;2016
10238;39.0;2013
10239;1.0;2013
10242;1.0;2012
10248;1.0;2016
10251;39.0;2012
10251;39.0;2012
10259;1.0;2013
10261;1.0;2013
10261;21.0;2014
10268;1.0;2013
10268;1.0;2016
10268;1.0;2016
10268;91.0;2016
10282;1.0;2013
10284;1.0;2013
10288;1.0;2013
10288;21.0;2014
10295;1.0;2012
10297;1.0;2013
10297;21.0;2014
10298;1.0;2013
10298;21.0;2014
10300;1.0;2013
10303;1.0;2013
10306;1.0;2012
10323;39.0;2012
10323;1.0;2013
10323;21.0;2014
10329;1.0;2013
10331;1.0;2012
10336;1.0;2013
10343;1.0;2013
10343;21.0;2013
10349;1.0;2013
10349;21.0;2014
10349;91.0;2016
10350;21.0;2013
10353;1.0;2013
10357;1.0;2013
10357;21.0;2014
10358;1.0;2013
10358;21.0;2014
10363;1.0;2012
10363;1.0;2013
10363;21.0;2014
10368;1.0;2013
10368;21.0;2014
10376;21.0;2014
10387;39.0;2012
10387;1.0;2013
10387;21.0;2014
10390;1.0;2012
10392;1.0;2013
10394;1.0;2016
10394;1.0;2016
10395;1.0;2013
10396;1.0;2013
10396;21.0;2013
10404;1.0;2013
10406;1.0;2012
10406;1.0;2013
10406;21.0;2014
10409;1.0;2013
10418;1.0;2013
10419;1.0;2013
10420;1.0;2016
10421;1.0;2013
10426;1.0;2012
10426;1.0;2013
10437;1.0;2013
10438;1.0;2012
11006;1.0;2015
11010;1.0;2015
11011;1.0;2015
11020;1.0;2015
11024;32.0;2015
11024;1.0;2015
11026;1.0;2016
11035;1.0;2014
11040;1.0;2014
11041;1.0;2015
11044;1.0;2015
11048;1.0;2013
11048;1.0;2014
11055;1.0;2014
11065;1.0;2014
11065;1.0;2015
11067;1.0;2015
11069;1.0;2014
11071;1.0;2014
11076;39.0;2013
11089;1.0;2013
11091;1.0;2014
11094;1.0;2014
11095;39.0;2013
11095;39.0;2016
11097;1.0;2014
11098;1.0;2015
11102;1.0;2015
