,CODGEO,MED
970,02564,21235.0
971,02565,19676.8
972,02566,21482.666666666668
973,02567,16128.095238095237
974,02568,24192.38095238095
975,02569,16963.333333333332
976,02570,17622.5
977,02571,21999.52380952381
978,02572,23045.2
980,02574,17753.888888888887
981,02575,17680.869565217392
982,02576,20308.09523809524
985,02579,19154.666666666668
986,02580,18252.0
987,02581,21064.761904761905
990,02584,20504.34782608696
991,02585,21500.47619047619
992,02586,20424.513043478262
993,02587,21371.25
995,02589,22689.35483870968
996,02590,21147.0
997,02591,19380.869565217392
998,02592,20555.78947368421
999,02593,21783.888888888887
1000,02594,18395.42857142857
1001,02595,25100.0
1002,02596,19475.714285714286
1004,02598,21559.04761904762
1005,02599,19403.33333333333
1006,02600,19336.92307692308
1007,02601,20236.0
1008,02602,17298.0
1010,02605,19090.8
1013,02608,16688.666666666668
1015,02610,21546.666666666668
1016,02612,19862.17391304348
1017,02613,21912.0
1018,02614,19876.0
1019,02615,23494.583333333336
1020,02616,19859.0
1021,02617,19270.714285714286
1022,02618,17133.333333333332
1023,02619,20565.0
1024,02620,18566.0
1025,02621,25007.083333333336
1027,02623,15645.333333333334
1028,02624,19213.2
1029,02625,18427.333333333336
1030,02626,21026.666666666668
1031,02627,20018.69565217392
1032,02628,22658.666666666668
1033,02629,18736.0
1034,02631,18642.5
1038,02635,18597.30769230769
1039,02636,21137.0
1040,02637,23198.0
1041,02638,18868.0
1042,02639,19550.0
1043,02640,18228.0
1044,02641,15969.0
1045,02642,17842.4
1046,02643,20200.0
1047,02644,21345.33333333333
1048,02645,19880.0
1051,02648,17418.0
1052,02649,20381.5
1053,02650,18712.41379310345
1054,02651,20387.33333333333
1055,02652,18841.2
1056,02653,21222.0
1058,02655,19631.33333333333
1059,02656,21908.666666666668
1060,02657,16348.8
1061,02658,20330.666666666668
1062,02659,24297.14285714285
1064,02661,22127.272727272728
1065,02662,20660.0
1066,02663,19955.6
1067,02664,23404.5
1068,02665,20104.0
1069,02666,15725.2
1070,02667,21102.777777777777
1071,02668,16488.888888888887
1072,02669,23551.333333333336
1073,02670,18968.666666666668
1074,02671,16912.5
1075,02672,19520.95238095238
1076,02673,19879.04761904762
1078,02675,20409.583333333336
1079,02676,18749.04761904762
1080,02677,18467.82608695652
1082,02679,18651.42857142857
1083,02680,19017.14285714286
1084,02681,18252.0
1085,02682,19343.913043478264
1086,02683,15395.238095238095
1087,02684,16208.75
1088,02685,21359.722222222223
1089,02686,19147.777777777777
1090,02687,24120.344827586207
1094,02691,16417.333333333332
1095,02693,20534.5
1096,02694,20622.38095238095
1099,02697,21294.848484848488
1100,02698,19726.666666666668
1101,02699,19258.0
1102,02701,20837.61904761905
1103,02702,21451.90476190476
1104,02703,18285.33333333333
1105,02704,18028.0
1106,02705,18839.583333333336
1107,02706,21096.19047619048
1108,02707,20778.0
1109,02708,22248.888888888887
1110,02709,17753.478260869568
1111,02710,19416.05
1112,02711,20018.0
